# schema_version: 1
id	map	x	y	region	title	hat_id
120131	iz_dun05	64	223	4	Diver's Slate	18645
120132	kh_dun02	70	107	-1	A Hidden Cache	0
120133	lhz_dun03	240	221	-1	A Hidden Cache	0
120134	lou_dun03	29	228	-1	A Hidden Cache	0
120135	mag_dun02	197	77	-1	A Hidden Cache	0
120136	mjo_dun03	76	220	-1	A Hidden Cache	0
120137	moc_pryd06	102	121	2	Rubbing From a Sealed Door	2222
120138	orcsdun02	31	72	-1	A Hidden Cache	0
120139	pay_dun04	120	124	3	A Lantern That Will Not Light	5170
120140	prt_maze03	11	14	0	The Gardener's Grievance	5108
120141	prt_sewb4	19	183	0	Holt's Requisition	5108
120142	tha_t06	150	176	-1	A Hidden Cache	0
120143	thor_v03	220	221	-1	A Hidden Cache	0
120144	treasure02	19	142	4	Manifest of the Sunken Ship	18645
120145	tur_dun04	134	130	-1	A Hidden Cache	0
120146	xmas_dun02	120	224	-1	A Hidden Cache	0
