# schema=1
# from_map	from_x	from_y	to_map	to_x	to_y	one_way	gated	reserved	source
dali	122	48	moc_fild22b	227	200	0	0	0	npc/re/warps/other/dimensional_gap.txt:77
dali	149	82	mid_camp	210	289	0	0	0	npc/re/warps/other/dimensional_gap.txt:76
dew_dun02	305	30	dew_fild01	50	65	0	0	0	npc/re/warps/cities/dewata.txt:42
dew_fild01	48	65	dew_dun02	302	30	0	0	0	npc/re/warps/cities/dewata.txt:41
dew_fild01	57	273	dew_in01	15	33	0	0	0	npc/re/warps/cities/dewata.txt:39
dew_fild01	375	212	dewata	46	251	0	0	0	npc/re/warps/cities/dewata.txt:38
dew_in01	16	31	dew_fild01	59	273	0	0	0	npc/re/warps/cities/dewata.txt:40
dewata	44	252	dew_fild01	373	212	0	0	0	npc/re/warps/cities/dewata.txt:37
dic_dun01	28	100	dic_dun01	367	172	0	0	0	npc/re/warps/dungeons/dic_dun.txt:42
dic_dun01	28	156	dic_dun01	367	228	0	0	0	npc/re/warps/dungeons/dic_dun.txt:40
dic_dun01	29	43	dic_dun01	367	100	0	0	0	npc/re/warps/dungeons/dic_dun.txt:45
dic_dun01	87	212	dic_dun01	169	227	0	0	0	npc/re/warps/dungeons/dic_dun.txt:37
dic_dun01	165	227	dic_dun01	83	212	0	0	0	npc/re/warps/dungeons/dic_dun.txt:38
dic_dun01	371	44	dic_fild01	28	79	0	0	0	npc/re/warps/fields/dic_fild.txt:37
dic_dun01	371	100	dic_dun01	33	43	0	0	0	npc/re/warps/dungeons/dic_dun.txt:44
dic_dun01	371	172	dic_dun01	32	100	0	0	0	npc/re/warps/dungeons/dic_dun.txt:41
dic_dun01	371	228	dic_dun01	32	156	0	0	0	npc/re/warps/dungeons/dic_dun.txt:39
dic_dun02	102	148	dic_dun01	290	99	1	0	0	npc/re/warps/dungeons/dic_dun.txt:43
dic_dun03	101	148	dic_dun01	286	102	1	0	0	npc/re/warps/dungeons/dic_dun.txt:46
dic_fild01	24	79	dic_dun01	366	45	0	0	0	npc/re/warps/fields/dic_fild.txt:38
dic_fild01	69	23	dic_fild02	70	373	0	0	0	npc/re/warps/fields/dic_fild.txt:39
dic_fild02	71	375	dic_fild01	69	25	0	0	0	npc/re/warps/fields/dic_fild.txt:40
dic_fild02	241	31	dali	41	134	0	1	0	npc/re/warps/other/dimensional_gap.txt:70
dic_in01	26	96	dicastes01	137	106	0	0	0	npc/re/warps/cities/dicastes.txt:51
dic_in01	45	28	dicastes01	281	284	0	0	0	npc/re/warps/cities/dicastes.txt:45
dic_in01	45	244	dicastes02	119	235	0	0	0	npc/re/warps/cities/dicastes.txt:57
dic_in01	242	182	dic_in01	138	221	0	1	0	npc/re/warps/cities/dicastes.txt:63
dic_in01	299	248	dic_in01	262	191	0	0	0	npc/re/warps/cities/dicastes.txt:58
dic_in01	342	271	dicastes01	255	173	0	0	0	npc/re/warps/cities/dicastes.txt:53
dic_in01	372	99	dicastes01	163	295	0	0	0	npc/re/warps/cities/dicastes.txt:47
dic_in01	390	55	dicastes01	95	257	0	0	0	npc/re/warps/cities/dicastes.txt:49
dicastes01	94	259	dic_in01	390	53	0	0	0	npc/re/warps/cities/dicastes.txt:48
dicastes01	136	103	dic_in01	26	98	0	0	0	npc/re/warps/cities/dicastes.txt:50
dicastes01	163	297	dic_in01	371	101	0	0	0	npc/re/warps/cities/dicastes.txt:46
dicastes01	198	353	dicastes02	120	80	0	0	0	npc/re/warps/cities/dicastes.txt:54
dicastes01	199	34	dic_fild01	149	279	1	0	0	npc/re/warps/fields/dic_fild.txt:41
dicastes01	255	175	dic_in01	344	272	0	0	0	npc/re/warps/cities/dicastes.txt:52
dicastes01	283	285	dic_in01	45	30	0	0	0	npc/re/warps/cities/dicastes.txt:44
dicastes02	120	77	dicastes01	197	351	0	0	0	npc/re/warps/cities/dicastes.txt:55
dicastes02	120	237	dic_in01	45	246	0	0	0	npc/re/warps/cities/dicastes.txt:56
ecl_fild01	182	82	ecl_tdun01	60	13	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:36
ecl_fild01	183	70	ecl_tdun04	33	19	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:45
ecl_fild01	207	72	bif_fild02	294	350	0	0	0	npc/re/warps/cities/eclage.txt:38
ecl_hub01	18	34	ecl_hub01	125	94	0	1	0	npc/re/warps/cities/eclage.txt:74
ecl_hub01	18	34	ecl_hub01	135	14	0	1	0	npc/re/warps/cities/eclage.txt:71
ecl_hub01	22	109	ecl_in02	99	7	0	0	0	npc/re/warps/cities/eclage.txt:46
ecl_hub01	40	14	ecl_in03	144	17	0	0	0	npc/re/warps/cities/eclage.txt:78
ecl_hub01	40	95	ecl_in01	11	67	0	0	0	npc/re/warps/cities/eclage.txt:45
ecl_hub01	105	36	ecl_in01	82	68	0	0	0	npc/re/warps/cities/eclage.txt:80
ecl_hub01	107	110	ecl_in01	82	68	0	0	0	npc/re/warps/cities/eclage.txt:63
ecl_hub01	127	95	ecl_hub01	18	32	0	0	0	npc/re/warps/cities/eclage.txt:64
ecl_hub01	138	17	ecl_hub01	18	32	0	0	0	npc/re/warps/cities/eclage.txt:81
ecl_in01	8	67	ecl_hub01	38	94	0	0	0	npc/re/warps/cities/eclage.txt:44
ecl_in01	47	8	eclage	297	307	0	0	0	npc/re/warps/cities/eclage.txt:43
ecl_in01	84	68	ecl_hub01	106	31	0	1	0	npc/re/warps/cities/eclage.txt:56
ecl_in01	84	68	ecl_hub01	107	107	0	1	0	npc/re/warps/cities/eclage.txt:59
ecl_in02	80	18	ecl_in02	157	66	0	0	0	npc/re/warps/cities/eclage.txt:48
ecl_in02	98	4	ecl_hub01	23	107	0	0	0	npc/re/warps/cities/eclage.txt:47
ecl_in02	157	68	ecl_in02	83	18	0	0	0	npc/re/warps/cities/eclage.txt:49
ecl_in03	144	14	ecl_hub01	40	11	0	0	0	npc/re/warps/cities/eclage.txt:79
ecl_tdun01	61	11	ecl_fild01	182	85	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:37
ecl_tdun01	67	106	ecl_tdun02	60	88	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:38
ecl_tdun02	52	9	ecl_tdun03	47	13	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:40
ecl_tdun02	60	90	ecl_tdun01	70	105	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:39
ecl_tdun03	49	11	ecl_tdun02	50	11	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:41
ecl_tdun03	50	46	ecl_tdun04	26	24	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:42
ecl_tdun04	26	26	ecl_tdun03	50	44	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:43
ecl_tdun04	34	17	ecl_fild01	183	73	0	0	0	npc/re/warps/dungeons/ecl_dun.txt:44
eclage	98	26	ecl_fild01	99	317	1	0	0	npc/re/warps/cities/eclage.txt:41
eclage	299	309	ecl_in01	47	11	0	0	0	npc/re/warps/cities/eclage.txt:42
ein_fild01	106	34	ein_fild05	172	366	0	0	0	npc/re/warps/fields/hugel_fild.txt:70
ein_fild01	234	34	ein_fild05	172	366	0	0	0	npc/re/warps/fields/hugel_fild.txt:71
ein_fild04	343	293	ein_fild05	80	294	0	0	0	npc/re/warps/fields/hugel_fild.txt:38
ein_fild05	76	294	ein_fild04	336	292	0	0	0	npc/re/warps/fields/hugel_fild.txt:39
ein_fild05	172	371	ein_fild01	106	40	0	0	0	npc/re/warps/fields/hugel_fild.txt:72
ein_fild05	376	183	ein_fild06	47	166	0	0	0	npc/re/warps/fields/hugel_fild.txt:40
ein_fild06	42	171	ein_fild05	371	183	0	0	0	npc/re/warps/fields/hugel_fild.txt:41
gef_fild00	40	199	geffen	213	119	1	0	0	npc/re/warps/fields/geffen_fild.txt:38
gef_fild00	267	382	mjolnir_06	265	32	1	0	0	npc/re/warps/fields/geffen_fild.txt:36
gef_fild00	381	137	prt_fild00	24	125	0	0	0	npc/re/warps/fields/geffen_fild.txt:37
gef_fild01	16	102	gef_fild09	368	92	0	0	0	npc/re/warps/fields/geffen_fild.txt:40
gef_fild01	69	17	gef_fild03	66	379	0	0	0	npc/re/warps/fields/geffen_fild.txt:41
gef_fild01	382	111	prt_fild04	20	114	0	0	0	npc/re/warps/fields/geffen_fild.txt:39
gef_fild02	14	78	gef_fild03	379	77	0	0	0	npc/re/warps/fields/geffen_fild.txt:46
gef_fild02	16	275	gef_fild03	379	277	0	0	0	npc/re/warps/fields/geffen_fild.txt:47
gef_fild02	266	18	prt_fild10	227	296	0	0	0	npc/re/warps/fields/geffen_fild.txt:45
gef_fild02	380	68	prt_fild07	17	64	0	0	0	npc/re/warps/fields/geffen_fild.txt:44
gef_fild02	380	156	prt_fild07	21	143	0	0	0	npc/re/warps/fields/geffen_fild.txt:42
gef_fild02	380	289	prt_fild07	18	289	0	0	0	npc/re/warps/fields/geffen_fild.txt:43
gef_fild03	18	52	gef_fild10	367	56	0	0	0	npc/re/warps/fields/geffen_fild.txt:52
gef_fild03	66	382	gef_fild01	69	20	0	0	0	npc/re/warps/fields/geffen_fild.txt:49
gef_fild03	312	16	prt_fild11	302	298	0	0	0	npc/re/warps/fields/geffen_fild.txt:48
gef_fild03	382	77	gef_fild02	17	78	0	0	0	npc/re/warps/fields/geffen_fild.txt:50
gef_fild03	382	277	gef_fild02	19	275	0	0	0	npc/re/warps/fields/geffen_fild.txt:51
gef_fild04	16	309	gef_fild05	361	309	0	0	0	npc/re/warps/fields/geffen_fild.txt:56
gef_fild04	187	39	geffen	119	210	1	0	0	npc/re/warps/fields/geffen_fild.txt:53
gef_fild04	261	362	mjolnir_01	284	21	1	0	0	npc/re/warps/fields/geffen_fild.txt:54
gef_fild04	362	322	mjolnir_06	21	331	1	0	0	npc/re/warps/fields/geffen_fild.txt:55
gef_fild05	15	201	gef_fild06	379	211	0	0	0	npc/re/warps/fields/geffen_fild.txt:58
gef_fild05	64	15	gef_fild07	64	360	0	0	0	npc/re/warps/fields/geffen_fild.txt:59
gef_fild05	364	309	gef_fild04	19	309	0	0	0	npc/re/warps/fields/geffen_fild.txt:57
gef_fild06	218	17	gef_fild08	200	352	0	0	0	npc/re/warps/fields/geffen_fild.txt:61
gef_fild06	382	211	gef_fild05	18	201	0	0	0	npc/re/warps/fields/geffen_fild.txt:60
gef_fild07	18	191	gef_fild08	357	187	0	0	0	npc/re/warps/fields/geffen_fild.txt:64
gef_fild07	40	19	gef_fild13	41	369	0	0	0	npc/re/warps/fields/geffen_fild.txt:65
gef_fild07	64	363	gef_fild05	64	18	0	0	0	npc/re/warps/fields/geffen_fild.txt:63
gef_fild07	339	187	geffen	29	119	1	0	0	npc/re/warps/fields/geffen_fild.txt:62
gef_fild08	200	355	gef_fild06	218	20	0	0	0	npc/re/warps/fields/geffen_fild.txt:66
gef_fild08	360	187	gef_fild07	21	191	0	0	0	npc/re/warps/fields/geffen_fild.txt:67
gef_fild09	23	56	gef_fild13	376	56	0	0	0	npc/re/warps/fields/geffen_fild.txt:69
gef_fild09	225	25	gef_fild10	251	368	0	0	0	npc/re/warps/fields/geffen_fild.txt:70
gef_fild09	368	95	gef_fild01	19	102	0	0	0	npc/re/warps/fields/geffen_fild.txt:71
gef_fild10	63	337	in_orcs01	30	157	1	0	0	npc/re/warps/fields/geffen_fild.txt:79
gef_fild10	104	21	gef_fild11	114	360	0	0	0	npc/re/warps/fields/geffen_fild.txt:73
gef_fild10	136	331	in_orcs01	122	171	1	0	0	npc/re/warps/fields/geffen_fild.txt:75
gef_fild10	138	284	in_orcs01	29	114	1	0	0	npc/re/warps/fields/geffen_fild.txt:76
gef_fild10	215	51	in_orcs01	162	53	1	0	0	npc/re/warps/fields/geffen_fild.txt:77
gef_fild10	223	205	in_orcs01	108	89	1	0	0	npc/re/warps/fields/geffen_fild.txt:78
gef_fild10	251	371	gef_fild09	225	28	0	0	0	npc/re/warps/fields/geffen_fild.txt:72
gef_fild10	370	56	gef_fild03	21	52	0	0	0	npc/re/warps/fields/geffen_fild.txt:74
gef_fild11	111	364	gef_fild10	104	24	0	0	0	npc/re/warps/fields/geffen_fild.txt:82
gef_fild11	377	293	prt_fild11	20	281	0	0	0	npc/re/warps/fields/geffen_fild.txt:81
gef_fild13	41	373	gef_fild07	40	23	0	0	0	npc/re/warps/fields/geffen_fild.txt:90
gef_fild13	380	56	gef_fild09	27	56	0	0	0	npc/re/warps/fields/geffen_fild.txt:89
geffen	140	99	geffen_in	165	50	0	0	0	npc/re/warps/other/sign.txt:38
geffen_in	165	54	geffen	138	104	0	0	0	npc/re/warps/other/sign.txt:39
gld2_ald	46	122	alde_gld	242	121	1	0	0	npc/re/warps/guildcastles.txt:59
gld2_ald	77	58	alde_gld	229	185	1	0	0	npc/re/warps/guildcastles.txt:58
gld2_ald	104	250	alde_gld	229	185	1	0	0	npc/re/warps/guildcastles.txt:60
gld2_ald	172	46	alde_gld	242	121	1	0	0	npc/re/warps/guildcastles.txt:57
gld2_ald	247	156	alde_gld	242	121	1	0	0	npc/re/warps/guildcastles.txt:61
gld2_gef	25	68	gef_fild13	373	62	1	0	0	npc/re/warps/guildcastles.txt:53
gld2_gef	28	205	gef_fild13	42	331	1	0	0	npc/re/warps/guildcastles.txt:50
gld2_gef	111	35	gef_fild13	42	331	1	0	0	npc/re/warps/guildcastles.txt:54
gld2_gef	175	198	gef_fild13	42	331	1	0	0	npc/re/warps/guildcastles.txt:52
gld2_gef	221	145	gef_fild13	373	62	1	0	0	npc/re/warps/guildcastles.txt:51
gld2_pay	33	105	pay_gld	53	141	1	0	0	npc/re/warps/guildcastles.txt:44
gld2_pay	61	215	pay_gld	53	141	1	0	0	npc/re/warps/guildcastles.txt:48
gld2_pay	119	21	pay_gld	53	141	1	0	0	npc/re/warps/guildcastles.txt:45
gld2_pay	175	215	pay_gld	53	141	1	0	0	npc/re/warps/guildcastles.txt:47
gld2_pay	205	105	pay_gld	53	141	1	0	0	npc/re/warps/guildcastles.txt:46
gld2_prt	10	22	prt_gld	252	247	1	0	0	npc/re/warps/guildcastles.txt:37
gld2_prt	14	252	prt_gld	63	66	1	0	0	npc/re/warps/guildcastles.txt:38
gld2_prt	103	11	prt_gld	252	247	1	0	0	npc/re/warps/guildcastles.txt:41
gld2_prt	226	21	prt_gld	63	66	1	0	0	npc/re/warps/guildcastles.txt:40
gld2_prt	266	236	prt_gld	252	247	1	0	0	npc/re/warps/guildcastles.txt:39
gld_dun01_2	119	14	pay_gld	53	141	1	0	0	npc/re/warps/guildcastles.txt:49
gld_dun02_2	20	160	alde_gld	229	185	1	0	0	npc/re/warps/guildcastles.txt:62
gld_dun02_2	180	112	alde_gld	242	121	1	0	0	npc/re/warps/guildcastles.txt:63
gld_dun03_2	42	30	prt_gld	63	66	1	0	0	npc/re/warps/guildcastles.txt:43
gld_dun03_2	238	274	prt_gld	252	247	1	0	0	npc/re/warps/guildcastles.txt:42
gld_dun04_2	37	230	gef_fild13	42	331	1	0	0	npc/re/warps/guildcastles.txt:55
gld_dun04_2	110	20	gef_fild13	373	62	1	0	0	npc/re/warps/guildcastles.txt:56
himinn	49	6	gef_fild07	179	241	1	0	0	npc/re/warps/other/sign.txt:41
himinn	49	67	himinn	49	75	0	0	0	npc/re/warps/other/sign.txt:43
himinn	49	72	himinn	49	63	0	0	0	npc/re/warps/other/sign.txt:44
hu_fild01	141	36	yuno_fild06	156	368	0	0	0	npc/re/warps/fields/yuno_fild.txt:99
hu_fild01	366	185	hu_fild02	22	168	0	0	0	npc/re/warps/fields/hugel_fild.txt:52
hu_fild02	17	168	hu_fild01	361	189	0	0	0	npc/re/warps/fields/hugel_fild.txt:53
hu_fild02	40	22	hu_fild04	48	368	0	0	0	npc/re/warps/fields/hugel_fild.txt:55
hu_fild02	283	28	hu_fild04	289	376	0	0	0	npc/re/warps/fields/hugel_fild.txt:57
hu_fild02	374	339	hu_fild03	24	337	1	0	0	npc/re/warps/fields/hugel_fild.txt:62
hu_fild02	378	162	hu_fild03	30	163	1	0	0	npc/re/warps/fields/hugel_fild.txt:64
hu_fild04	27	126	yuno_fild06	362	132	0	0	0	npc/re/warps/fields/yuno_fild.txt:95
hu_fild04	47	372	hu_fild02	40	27	0	0	0	npc/re/warps/fields/hugel_fild.txt:54
hu_fild04	122	27	yuno_fild02	114	370	0	0	0	npc/re/warps/fields/yuno_fild.txt:96
hu_fild04	294	379	hu_fild02	280	31	0	0	0	npc/re/warps/fields/hugel_fild.txt:56
hu_fild04	380	183	hu_fild05	39	206	0	0	0	npc/re/warps/fields/yuno_fild.txt:100
hu_fild05	33	198	hu_fild04	373	181	0	0	0	npc/re/warps/fields/yuno_fild.txt:101
hu_fild05	353	126	hu_fild06	34	119	0	0	0	npc/re/warps/fields/hugel_fild.txt:60
hu_fild06	28	119	hu_fild05	347	130	0	0	0	npc/re/warps/fields/hugel_fild.txt:61
iz_ac01	78	25	iz_ac02	124	46	0	0	0	npc/re/warps/cities/izlude.txt:170
iz_ac01	100	24	izlude	127	253	0	0	0	npc/re/warps/cities/izlude.txt:169
iz_ac01	122	25	iz_ac02	124	46	0	0	0	npc/re/warps/cities/izlude.txt:171
iz_ac01_a	78	25	iz_ac02_a	124	46	0	0	0	npc/re/warps/cities/izlude.txt:189
iz_ac01_a	100	24	izlude_a	127	253	0	0	0	npc/re/warps/cities/izlude.txt:185
iz_ac01_a	122	25	iz_ac02_a	124	46	0	0	0	npc/re/warps/cities/izlude.txt:193
iz_ac01_b	78	25	iz_ac02_b	124	46	0	0	0	npc/re/warps/cities/izlude.txt:190
iz_ac01_b	100	24	izlude_b	127	253	0	0	0	npc/re/warps/cities/izlude.txt:186
iz_ac01_b	122	25	iz_ac02_b	124	46	0	0	0	npc/re/warps/cities/izlude.txt:194
iz_ac01_c	78	25	iz_ac02_c	124	46	0	0	0	npc/re/warps/cities/izlude.txt:191
iz_ac01_c	100	24	izlude_c	127	253	0	0	0	npc/re/warps/cities/izlude.txt:187
iz_ac01_c	122	25	iz_ac02_c	124	46	0	0	0	npc/re/warps/cities/izlude.txt:195
iz_ac01_d	78	25	iz_ac02_d	124	46	0	0	0	npc/re/warps/cities/izlude.txt:192
iz_ac01_d	100	24	izlude_d	127	253	0	0	0	npc/re/warps/cities/izlude.txt:188
iz_ac01_d	122	25	iz_ac02_d	124	46	0	0	0	npc/re/warps/cities/izlude.txt:196
iz_ac02	126	48	iz_ac01	78	28	0	0	0	npc/re/warps/cities/izlude.txt:172
iz_ac02	132	48	iz_ac01	122	28	0	0	0	npc/re/warps/cities/izlude.txt:173
iz_ac02_a	126	48	iz_ac01_a	78	28	0	0	0	npc/re/warps/cities/izlude.txt:197
iz_ac02_a	132	48	iz_ac01_a	122	28	0	0	0	npc/re/warps/cities/izlude.txt:201
iz_ac02_b	126	48	iz_ac01_b	78	28	0	0	0	npc/re/warps/cities/izlude.txt:198
iz_ac02_b	132	48	iz_ac01_b	122	28	0	0	0	npc/re/warps/cities/izlude.txt:202
iz_ac02_c	126	48	iz_ac01_c	78	28	0	0	0	npc/re/warps/cities/izlude.txt:199
iz_ac02_c	132	48	iz_ac01_c	122	28	0	0	0	npc/re/warps/cities/izlude.txt:203
iz_ac02_d	126	48	iz_ac01_d	78	28	0	0	0	npc/re/warps/cities/izlude.txt:200
iz_ac02_d	132	48	iz_ac01_d	122	28	0	0	0	npc/re/warps/cities/izlude.txt:204
iz_dun04	130	234	iz_dun05	141	187	0	1	0	npc/re/warps/dungeons/iz_dun.txt:56
iz_dun05	142	190	iz_dun04	129	232	0	1	0	npc/re/warps/dungeons/iz_dun.txt:75
izlude	20	98	prt_fild08	367	212	0	0	0	npc/re/warps/cities/izlude.txt:43
izlude	52	172	izlude_in	74	161	0	0	0	npc/re/warps/cities/izlude.txt:47
izlude	110	182	izlude_in	65	87	0	0	0	npc/re/warps/cities/izlude.txt:45
izlude	125	257	iz_ac01	99	29	0	0	0	npc/re/warps/cities/izlude.txt:167
izlude	130	257	iz_ac01	99	29	0	0	0	npc/re/warps/cities/izlude.txt:168
izlude	213	161	arena_room	100	30	0	0	0	npc/re/warps/other/arena.txt:35
izlude_a	20	98	prt_fild08a	367	212	0	0	0	npc/re/warps/cities/izlude.txt:63
izlude_a	52	172	izlude_in	74	161	1	0	0	npc/re/warps/cities/izlude.txt:71
izlude_a	110	182	izlude_in	65	87	1	0	0	npc/re/warps/cities/izlude.txt:67
izlude_a	125	257	iz_ac01_a	99	29	0	0	0	npc/re/warps/cities/izlude.txt:177
izlude_a	130	257	iz_ac01_a	99	29	0	0	0	npc/re/warps/cities/izlude.txt:181
izlude_a	213	161	arena_room	100	30	1	0	0	npc/re/warps/other/arena.txt:36
izlude_b	20	98	prt_fild08b	367	212	0	0	0	npc/re/warps/cities/izlude.txt:64
izlude_b	52	172	izlude_in	74	161	1	0	0	npc/re/warps/cities/izlude.txt:72
izlude_b	110	182	izlude_in	65	87	1	0	0	npc/re/warps/cities/izlude.txt:68
izlude_b	125	257	iz_ac01_b	99	29	0	0	0	npc/re/warps/cities/izlude.txt:178
izlude_b	130	257	iz_ac01_b	99	29	0	0	0	npc/re/warps/cities/izlude.txt:182
izlude_b	213	161	arena_room	100	30	1	0	0	npc/re/warps/other/arena.txt:37
izlude_c	20	98	prt_fild08c	367	212	0	0	0	npc/re/warps/cities/izlude.txt:65
izlude_c	52	172	izlude_in	74	161	1	0	0	npc/re/warps/cities/izlude.txt:73
izlude_c	110	182	izlude_in	65	87	1	0	0	npc/re/warps/cities/izlude.txt:69
izlude_c	125	257	iz_ac01_c	99	29	0	0	0	npc/re/warps/cities/izlude.txt:179
