# GENERATED by Hercules/tools/export_quest_locations.py from npc scripts.
# quest_id	npc	map	x	y	hunt_zone	source
1223	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1224	Diary Frog No.3	ecl_tdun03	21	69		npc/re/quests/quests_eclage.txt
1225	Professor Worm	ecl_tdun04	26	39	ecl_tdun01	npc/re/quests/quests_eclage.txt
1226	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1227	Professor Worm	ecl_tdun04	26	39	ecl_fild01	npc/re/quests/quests_eclage.txt
1228	Professor Worm	ecl_tdun04	26	39		npc/re/quests/quests_eclage.txt
1229	Swordman Trainer	iz_ac02	60	51		npc/re/jobs/novice/academy.txt
1230	Swordman Trainer	iz_ac02	60	51		npc/re/jobs/novice/academy.txt
1233	Swordman Trainer	iz_ac02	60	51		npc/re/jobs/novice/academy.txt
1234	Swordman Trainer	iz_ac02	60	51		npc/re/jobs/novice/academy.txt
1235	Swordman Trainer	iz_ac02	60	51		npc/re/jobs/novice/academy.txt
1236	Swordman Trainer	iz_ac02	60	51		npc/re/jobs/novice/academy.txt
1237	Shop Helper	izlude	115	181		npc/re/jobs/novice/academy.txt
1238	Shop Helper	izlude	115	181		npc/re/jobs/novice/academy.txt
1239	Shop Helper	izlude	115	181		npc/re/jobs/novice/academy.txt
1240	Shop Helper	izlude	115	181		npc/re/jobs/novice/academy.txt
1260	Unpleasent Royal Guard	dali02	44	129		npc/re/instances/ghost_palace.txt
1261	Interdimensional Device::gpportal	dali02	41	134		npc/re/instances/ghost_palace.txt
1262	Unpleasent Royal Guard	dali02	44	129		npc/re/instances/ghost_palace.txt
1263	Unpleasent Royal Guard	dali02	44	129		npc/re/instances/ghost_palace.txt
2000	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2001	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2002	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2003	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2004	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2005	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2006	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2007	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2008	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2009	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2010	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2011	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2012	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2013	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2014	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2015	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2016	Guildsman	ein_in01	18	28		npc/jobs/2-1/blacksmith.txt
2017	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2018	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2019	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2020	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2021	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2022	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2023	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2024	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2025	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2026	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2027	Rogue Guildsman	in_rogue	363	122		npc/jobs/2-2/rogue.txt
2028	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2029	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2030	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2031	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2032	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2033	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2034	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2035	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2036	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2037	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2038	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2039	Alchemist Guildsman	alde_alche	27	185		npc/jobs/2-2/alchemist.txt
2040	Master Alchemist	alde_alche	101	184		npc/jobs/2-2/alchemist.txt
2041	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2042	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2043	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2044	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2045	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2046	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2047	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2048	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2049	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2050	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2051	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2052	Dean of the Academy	yuno_in02	38	61		npc/jobs/2-2/sage.txt
2053	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2054	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2055	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2056	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2057	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2058	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2059	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2060	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2061	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2062	Staff of the Academy	yuno_in03	154	35		npc/jobs/2-2/sage.txt
2063	Book-Touching Man	moc_ruins	137	70		npc/quests/quests_morocc.txt
2064	Book-Touching Man	moc_ruins	137	70		npc/quests/quests_morocc.txt
2065	Book-Touching Man	moc_ruins	137	70		npc/quests/quests_morocc.txt
2066	Book-Touching Man	moc_ruins	137	70		npc/quests/quests_morocc.txt
2067	Book-Touching Man	moc_ruins	137	70		npc/quests/quests_morocc.txt
2068	Suspicious Man	yuno_in04	169	123		npc/quests/quests_morocc.txt
2069	Lieutenant Eyor	bat_room	58	204		npc/battleground/tierra/tierra01.txt
2070	A_CODE	bat_b01	87	76		npc/battleground/flavius/flavius01.txt
2071	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2072	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2073	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2074	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2075	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2076	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2077	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2078	Buender Hikeman	einbech	165	105		npc/quests/quests_ein.txt
2079	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2080	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2081	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2082	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2083	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2084	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2085	Crewman	airplane	47	61		npc/quests/quests_airship.txt
2086	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2087	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2088	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2089	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2090	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2091	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2092	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2093	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2094	Book	yuno_in04	168	117		npc/quests/quests_lighthalzen.txt
2095	Secretary Slierre	lhz_in01	286	226		npc/quests/quests_lighthalzen.txt
2109	Sincere Follower Urstia	rachel	157	183		npc/quests/quests_rachel.txt
2110	Sincere Follower Urstia	rachel	157	183		npc/quests/quests_rachel.txt
2111	Sincere Follower Urstia	rachel	157	183		npc/quests/quests_rachel.txt
2112	Sincere Follower Urstia	rachel	157	183		npc/quests/quests_rachel.txt
2113	Sincere Follower Urstia	rachel	157	183		npc/quests/quests_rachel.txt
2114	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2115	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2116	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2117	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2118	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2119	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2120	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2121	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2122	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2123	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2124	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2125	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2126	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2127	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2128	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2129	Foreign Merchant	moc_ruins	77	167		npc/quests/quests_nameless.txt
2130	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2131	High Priest Zhed	ra_temin	277	159		npc/quests/quests_rachel.txt
2143	Pierrot Pier	arug_que01	100	81		npc/events/gdevent_aru.txt
2144	Dwarf	arug_dun01	199	195		npc/events/gdevent_aru.txt
2147	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2148	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2149	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2150	Monster Scholar	mid_camp	188	254	spl_fild02	npc/quests/quests_13_1.txt
2151	Monster Scholar	mid_camp	188	254	bif_fild01	npc/quests/quests_13_1.txt
2152	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2153	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2154	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2155	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2156	Monster Scholar	mid_camp	188	254		npc/quests/quests_13_1.txt
2157	Monster Scholar	mid_camp	188	254	man_fild02	npc/quests/quests_13_1.txt
2158	Small Fairy	spl_fild02	34	223		npc/quests/quests_13_1.txt
2159	Tree Giant	man_fild03	236	105		npc/quests/quests_13_1.txt
2179	Scientist	man_in01	372	221		npc/quests/quests_13_2.txt
2180	Scientist	man_in01	372	221		npc/quests/quests_13_2.txt
2181	Scientist	man_in01	372	221		npc/quests/quests_13_2.txt
2183	High Laphine	spl_in01	30	324		npc/quests/quests_13_2.txt
2184	High Laphine	spl_in01	30	324		npc/quests/quests_13_2.txt
2187	Praying Minister	prt_church	103	88		npc/re/jobs/3-1/archbishop.txt
2188	Praying Minister	prt_church	103	88		npc/re/jobs/3-1/archbishop.txt
2189	Praying Minister	prt_church	103	88		npc/re/jobs/3-1/archbishop.txt
2190	Praying Minister	prt_church	103	88		npc/re/jobs/3-1/archbishop.txt
2191	Valkyrie	job3_arch02	244	46		npc/re/jobs/3-1/archbishop.txt
2192	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2193	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2194	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2195	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2196	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2197	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2198	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2199	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2200	Candy Maker	brasilis	187	162		npc/re/quests/quests_brasilis.txt
2201	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2202	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2203	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2204	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2205	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2206	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2207	Botanist Karmen	brasilis	203	286		npc/re/quests/quests_brasilis.txt
2208	Pedro	brasilis	185	246		npc/re/quests/quests_brasilis.txt
2209	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2210	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2211	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2212	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2213	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2214	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2215	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2216	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2217	Alchemist Union Member	alde_alche	35	186		npc/re/jobs/3-2/genetic.txt
2218	Performance Manager	xmas	132	143		npc/re/jobs/3-2/wanderer.txt
2219	Performance Manager	xmas	132	143		npc/re/jobs/3-2/wanderer.txt
2220	Performance Manager	xmas	132	143		npc/re/jobs/3-2/wanderer.txt
2221	Performance Manager	xmas	132	143	abyss_01	npc/re/jobs/3-2/wanderer.txt
2222	Dancer Kim	xmas	147	135		npc/re/jobs/3-2/wanderer.txt
2223	Devries	job3_gen01	25	58		npc/re/jobs/3-2/genetic.txt
2271	Guard	malaya	305	281		npc/re/quests/quests_malaya.txt
2272	Port Malaya Villager::buwaya_A	malaya	276	288		npc/re/quests/quests_malaya.txt
2273	Totoy	ma_in01	47	101		npc/re/quests/quests_malaya.txt
2274	Master of Hunting	malaya	290	152		npc/re/quests/quests_malaya.txt
2275	Master of Hunting	malaya	290	152		npc/re/quests/quests_malaya.txt
2276	Master of Hunting	malaya	290	152		npc/re/quests/quests_malaya.txt
2277	Guard Leader	malaya	290	340		npc/re/quests/quests_malaya.txt
2278	Dog	ma_fild02	312	259		npc/re/quests/quests_malaya.txt
2279	Totoy	ma_in01	47	101		npc/re/quests/quests_malaya.txt
2280	Totoy	ma_in01	47	101		npc/re/quests/quests_malaya.txt
2281	Guard Leader	malaya	290	340		npc/re/quests/quests_malaya.txt
2289	Suspicious Cat	moc_prydn1	94	98	moc_prydn1	npc/re/quests/quests_morocc.txt
2292	Suspicious Cat	moc_prydn1	94	98	moc_prydn1	npc/re/quests/quests_morocc.txt
2293	Adept Adventurer	iz_ac01	45	80		npc/re/jobs/novice/academy.txt
2294	Adventurer's Pet	iz_ac01	43	80		npc/re/jobs/novice/academy.txt
2295	Adventurer's Pet	iz_ac01	43	80		npc/re/jobs/novice/academy.txt
2296	Adventurer's Pet	iz_ac01	43	80		npc/re/jobs/novice/academy.txt
2297	Adventurer's Pet	iz_ac01	43	80		npc/re/jobs/novice/academy.txt
2298	Adventurer's Pet	iz_ac01	43	80		npc/re/jobs/novice/academy.txt
2299	Attribute Expert	iz_ac01	53	74		npc/re/jobs/novice/academy.txt
3000	Wandering Bard	comodo	226	123		npc/jobs/2-2/bard.txt
3001	Wandering Bard	comodo	226	123		npc/jobs/2-2/bard.txt
3002	Wandering Bard	comodo	226	123		npc/jobs/2-2/bard.txt
3003	Wandering Bard	comodo	226	123		npc/jobs/2-2/bard.txt
3004	Wandering Bard	comodo	226	123		npc/jobs/2-2/bard.txt
3006	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3007	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3008	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3009	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3010	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3011	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3012	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3013	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3014	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3015	Senior Crusader	prt_castle	45	169		npc/jobs/2-2/crusader.txt
3016	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3017	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3018	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3019	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3020	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3021	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3022	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3023	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3024	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3025	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3026	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3027	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3028	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3029	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3031	Guarding Monk	prt_monk	59	247		npc/jobs/2-2/monk.txt
3032	Sensei Moohae	monk_in	99	58		npc/jobs/2-2/monk.txt
3040	Grave of Baphomet	monk_test	306	151		npc/instances/SealedShrine.txt
3041	Rust Blackhand	prt_monk	261	91		npc/instances/SealedShrine.txt
3042	Friar Patrick	monk_test	309	146		npc/instances/SealedShrine.txt
3043	Rust Blackhand	prt_monk	261	91		npc/instances/SealedShrine.txt
3044	Rust Blackhand	prt_monk	261	91		npc/instances/SealedShrine.txt
3050	Continental Official	morocc	176	103		npc/quests/quests_morocc.txt
3051	Continental Official	morocc	176	103		npc/quests/quests_morocc.txt
3052	Continental Official	morocc	176	103		npc/quests/quests_morocc.txt
3053	Continental Official	morocc	176	103		npc/quests/quests_morocc.txt
3054	Continental Official	morocc	176	103		npc/quests/quests_morocc.txt
3055	Continental Official	morocc	176	103		npc/quests/quests_morocc.txt
3056	Chief Balrog	morocc	159	113		npc/quests/quests_morocc.txt
3060	Kid	veins	327	185		npc/quests/quests_veins.txt
3061	Kid	veins	327	185		npc/quests/quests_veins.txt
3062	Kid	veins	327	185		npc/quests/quests_veins.txt
3063	Kid	veins	327	185		npc/quests/quests_veins.txt
3064	Kid	veins	327	185		npc/quests/quests_veins.txt
3065	Kid	veins	327	185		npc/quests/quests_veins.txt
3066	Kid	veins	327	185		npc/quests/quests_veins.txt
3067	Kid	veins	327	185		npc/quests/quests_veins.txt
3068	Kid	veins	327	185		npc/quests/quests_veins.txt
3069	Kid	veins	327	185		npc/quests/quests_veins.txt
3070	Kid	veins	327	185		npc/quests/quests_veins.txt
3071	Kid	veins	327	185		npc/quests/quests_veins.txt
3072	Kid	veins	327	185		npc/quests/quests_veins.txt
3073	Kid	veins	327	185		npc/quests/quests_veins.txt
3074	Kid	veins	327	185		npc/quests/quests_veins.txt
3075	Kid	veins	327	185		npc/quests/quests_veins.txt
3076	Kid	veins	327	185		npc/quests/quests_veins.txt
3077	Kid	veins	327	185		npc/quests/quests_veins.txt
3078	Kid	veins	327	185		npc/quests/quests_veins.txt
3079	Kid	veins	327	185		npc/quests/quests_veins.txt
3080	Kid	veins	327	185		npc/quests/quests_veins.txt
3081	Kid	veins	327	185		npc/quests/quests_veins.txt
3082	Kid	veins	327	185		npc/quests/quests_veins.txt
3083	Kid	veins	327	185		npc/quests/quests_veins.txt
3085	Hibba Agip	mid_campin	90	121		npc/quests/quests_13_1.txt
3088	Expedition Scout	man_fild01	315	95		npc/quests/quests_13_1.txt
3089	Expedition Scout	man_fild01	315	95		npc/quests/quests_13_1.txt
3090	Expedition Scout	man_fild01	315	95		npc/quests/quests_13_1.txt
